,SEXO,RAZA,TAMAÑO,CARACTER,NOMBRE,PROTECTORA,LINK,FOTO,AÑOS
0,macho,mestizo,mediano,cariñoso,Ommo,1,https://elrefugio.org/ficha/ommo,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Ommoweb.jpg,0
1,hembra,mestizo,mediano,tímida,Tex,1,https://elrefugio.org/ficha/tex,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Texweb.jpg,5
2,macho,mestizo,grande,cariñoso,Boldo,1,https://elrefugio.org/ficha/boldo,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Boldoweb.jpg,9
3,macho,mestizo,grande,sociable,Slinky,1,https://elrefugio.org/ficha/slinky,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Solweb.jpg,3
4,macho,pitbull,grande,activo,Brus,1,https://elrefugio.org/ficha/brutus,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Brutusweb.jpg,4
5,hembra,mestizo,mediano,tímido,Breil,1,https://elrefugio.org/ficha/breil,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Breil.jpg,14
6,macho,mestizo,mediano,activo,Rex,1,https://elrefugio.org/ficha/rex,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Rexweb.jpg,2
7,hembra,cruce boxer,grande,bueno,Chicha,1,https://elrefugio.org/ficha/Chicha,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Bichaweb.jpg,8
8,macho,mestizo,mediano,cariñoso,Sven,1,https://elrefugio.org/ficha/sven,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Svenweb.jpg,2
9,macho,galgo,mediano,dominante,Gurugú,1,https://elrefugio.org/ficha/gurugu,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Guruguweb.jpg,5
10,hembra,podenco,mediano,dócil,Sambinha,1,https://elrefugio.org/ficha/campina,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Campina.jpg,13
11,hembra,mestizo,mediano,tímida,Maoui,1,https://elrefugio.org/ficha/maoui,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Maouiweb.jpg,5
12,macho,pitbull,mediano,activo,Garland,1,https://elrefugio.org/ficha/garland,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Garlandweb.jpg,5
13,macho,mestizo,grande,dócil,Pun,1,https://elrefugio.org/ficha/pun,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Pun.jpg,10
14,macho,mestizo,grande,simpático,Forlan,1,https://elrefugio.org/ficha/forlan,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Forlanweb.jpg,12
15,macho,mestizo,grande,cariñoso,Félix,1,https://elrefugio.org/ficha/felix,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Felixweb.jpg,8
16,hembra,mestizo,mediano,independiente,Lirona,1,https://elrefugio.org/ficha/lirona,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Lironaweb_1.jpg,6
17,hembra,galgo,grande,cariñosa,Gartha,1,https://elrefugio.org/ficha/gartha,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Garthaweb.jpg,11
18,hembra,am. stafford,mediano,cariñosa,Bilma,1,https://elrefugio.org/ficha/bilma,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Bilmaweb.jpg,8
19,macho,mestizo,grande,juguetón,Bender,1,https://elrefugio.org/ficha/bender,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Bender.jpg,10
